order_month,customer_state,product_category_name,payment_type,cuboid_level,support_count,order_count,total_sales,avg_review_score,avg_delivery_days
ALL,ALL,livros_tecnicos,ALL,1,272,260,23685.32,4.382352941176471,7.966911764705882
ALL,ALL,eletrodomesticos_2,ALL,1,270,234,135945.03999999998,4.218518518518518,8.662962962962963
ALL,ALL,agro_industria_e_comercio,ALL,1,252,182,90808.76999999999,4.150793650793651,7.646825396825397
ALL,ALL,construcao_ferramentas_jardim,ALL,1,247,194,31756.960000000003,4.080971659919029,8.336032388663968
ALL,ALL,pcs,ALL,1,220,181,253374.41,4.195454545454545,9.295454545454545
ALL,ALL,artes,ALL,1,219,202,28912.99,3.9452054794520546,6.867579908675799
ALL,ALL,sinalizacao_e_seguranca,ALL,1,201,140,28120.83,4.064676616915423,6.990049751243781
ALL,ALL,construcao_ferramentas_seguranca,ALL,1,199,167,45966.23999999999,3.8542713567839195,7.824120603015075
ALL,AM,ALL,ALL,1,172,147,28549.04,4.093023255813954,23.069767441860463
ALL,ALL,artigos_de_natal,ALL,1,155,128,12079.84,4.064516129032258,11.819354838709678
ALL,ALL,fashion_roupa_masculina,ALL,1,145,112,13974.210000000001,3.5586206896551724,7.786206896551724
ALL,ALL,fashion_underwear_e_moda_praia,ALL,1,144,121,12419.059999999998,4.0,8.715277777777779
ALL,ALL,moveis_quarto,ALL,1,126,95,27742.360000000004,3.8412698412698414,7.785714285714286
ALL,ALL,construcao_ferramentas_ferramentas,ALL,1,105,97,18155.420000000002,4.438095238095238,9.085714285714285
ALL,AC,ALL,ALL,1,95,81,20861.500000000004,4.094736842105263,16.736842105263158
ALL,ALL,tablets_impressao_imagem,ALL,1,87,79,9140.68,4.137931034482759,8.850574712643677
ALL,AP,ALL,ALL,1,84,68,16517.39,4.25,23.845238095238095
ALL,ALL,portateis_casa_forno_e_cafe,ALL,1,78,75,51830.36999999999,4.32051282051282,6.717948717948718
ALL,ALL,cine_foto,ALL,1,74,65,8232.240000000002,4.216216216216216,7.824324324324325
ALL,ALL,dvds_blu_ray,ALL,1,71,59,7889.99,4.126760563380282,9.619718309859154
ALL,ALL,livros_importados,ALL,1,62,53,5661.13,4.419354838709677,5.209677419354839
ALL,RR,ALL,ALL,1,52,46,10064.619999999999,3.576923076923077,22.173076923076923
ALL,ALL,fashion_roupa_feminina,ALL,1,50,39,3535.84,3.78,6.6
ALL,SP,ALL,credit_card,2,36688,31833,4751155.64,4.137947012647187,5.096789140863498
ALL,RJ,ALL,credit_card,2,11693,10188,1763271.5100000002,3.8323783460189857,11.180278799281622
ALL,MG,ALL,credit_card,2,10224,8965,1497028.73,4.100547730829421,8.261150234741784
ALL,SP,ALL,boleto,2,9543,8123,1077230.32,4.11076181494289,5.204023891857906
ALL,ALL,cama_mesa_banho,credit_card,2,9081,7540,1034040.73,3.8960466908930735,9.228939544103072
ALL,ALL,beleza_saude,credit_card,2,7605,6874,1176999.92,4.1571334648257725,8.602103879026956
2017-11,ALL,ALL,credit_card,2,6797,5800,959404.4199999999,3.858761218184493,10.46020303074886
ALL,ALL,esporte_lazer,credit_card,2,6671,5904,925693.58,4.097436666166992,8.973467246289912
2018-03,ALL,ALL,credit_card,2,6490,5656,952220.78,3.7080123266563945,12.211248073959938
ALL,ALL,moveis_decoracao,credit_card,2,6440,4919,713432.14,3.9096273291925465,8.617857142857142
2018-05,ALL,ALL,credit_card,2,6317,5460,940038.34,4.14674687351591,8.274813993984486
2018-01,ALL,ALL,credit_card,2,6246,5478,885225.46,3.9582132564841497,9.877521613832853
2018-04,ALL,ALL,credit_card,2,6234,5436,948093.3500000001,4.0877446262431825,7.932787937119024
2018-02,ALL,ALL,credit_card,2,6027,5205,800027.26,3.7507881201260993,12.55964824954372
ALL,SP,cama_mesa_banho,ALL,2,5657,4416,593702.84,4.038182782393495,5.7406752695775145
2018-08,ALL,ALL,credit_card,2,5605,4958,812282.9099999999,4.209099018733274,4.87636039250669
2018-06,ALL,ALL,credit_card,2,5536,4791,836297.9,4.164559248554913,6.234104046242774
ALL,ALL,informatica_acessorios,credit_card,2,5483,4737,740067.28,3.979937990151377,9.162137515958417
ALL,ALL,utilidades_domesticas,credit_card,2,5431,4613,620021.69,4.048241576136991,7.356103848278401
2018-07,ALL,ALL,credit_card,2,5346,4729,818288.61,4.239618406285073,5.661054994388328
ALL,ALL,relogios_presentes,credit_card,2,4866,4568,1123183.44,4.043362104397863,9.454788327168105
2017-12,ALL,ALL,credit_card,2,4856,4321,687039.1100000001,3.9862026359143328,10.8585255354201
ALL,RS,ALL,credit_card,2,4548,3948,681147.3700000001,4.062225153913809,11.556068601583114
ALL,SP,beleza_saude,ALL,2,4348,3789,535087.65,4.230680772769089,4.746090156393744
ALL,PR,ALL,credit_card,2,4336,3747,633646.1299999999,4.0987084870848705,8.121079335793358
2017-10,ALL,ALL,credit_card,2,4075,3470,625820.31,4.078527607361964,7.83680981595092
ALL,SP,esporte_lazer,ALL,2,3831,3296,460824.5,4.196815452884365,5.433046202036022
2018-05,SP,ALL,ALL,2,3806,3197,503802.82,4.236994219653179,4.987125591171834
ALL,SP,moveis_decoracao,ALL,2,3792,2724,369440.1,4.02162447257384,5.015295358649789
2017-08,ALL,ALL,credit_card,2,3776,3245,536590.36,4.244703389830509,7.308262711864407
2018-08,SP,ALL,ALL,2,3752,3218,470844.75,4.202025586353945,3.298507462686567
2017-09,ALL,ALL,credit_card,2,3711,3247,588538.07,4.144435462139585,8.122338992185394
2018-04,SP,ALL,ALL,2,3681,3056,468278.58999999997,4.174952458571041,3.9989133387666396
2017-11,SP,ALL,ALL,2,3656,2971,434431.75,3.991247264770241,5.948304157549234
2018-03,SP,ALL,ALL,2,3617,3024,453043.3,4.040641415537738,6.3491844069671
2018-01,SP,ALL,ALL,2,3608,3023,451464.12,4.063470066518847,5.8317627494456765
2017-07,ALL,ALL,credit_card,2,3487,3029,465017.05,4.158589045024376,7.783768282190995
ALL,SP,utilidades_domesticas,ALL,2,3475,2781,352408.72000000003,4.176115107913669,4.636258992805756
ALL,ALL,telefonia,credit_card,2,3404,3108,307251.05,3.967391304347826,8.664806110458285
2018-06,SP,ALL,ALL,2,3361,2769,412738.36,4.229098482594466,3.6867003867896457
ALL,ALL,brinquedos,credit_card,2,3300,3105,469984.74,4.178484848484849,8.33
ALL,ALL,automotivo,credit_card,2,3295,2988,565639.72,4.049165402124431,8.607890743550835
ALL,SP,informatica_acessorios,ALL,2,3267,2679,407697.02999999997,3.9843893480257115,5.720538720538721
2018-07,SP,ALL,ALL,2,3245,2766,390590.43,4.237288135593221,3.6517719568567024
2018-02,SP,ALL,ALL,2,3236,2687,379723.4199999999,3.927379480840544,7.116192830655129
2017-05,ALL,ALL,credit_card,2,3221,2804,461335.43999999994,4.1480906550760634,7.945048121701335
ALL,ALL,ferramentas_jardim,credit_card,2,3220,2603,460375.65,4.044409937888199,10.080434782608696
ALL,SC,ALL,credit_card,2,3105,2690,487878.16000000003,3.9958132045088566,11.167793880837358
ALL,BA,ALL,credit_card,2,3008,2630,510199.13,3.799867021276596,15.28623670212766
ALL,ALL,cool_stuff,credit_card,2,2984,2858,583267.52,4.144101876675603,9.02882037533512
2017-12,SP,ALL,ALL,2,2796,2336,335368.39,4.132689556509299,6.0647353361945635
ALL,SP,ALL,voucher,2,2767,1551,319925.11,4.100108420672208,5.350198771232382
2017-06,ALL,ALL,credit_card,2,2722,2428,391193.20999999996,4.143644379132991,8.132990448199854
ALL,ALL,perfumaria,credit_card,2,2717,2501,382538.35,4.17004048582996,8.421788737578211
ALL,MG,ALL,boleto,2,2710,2286,340880.86999999994,4.055719557195572,8.291881918819188
ALL,RJ,ALL,boleto,2,2545,2147,329089.08999999997,3.7681728880157173,11.466404715127702
ALL,ALL,bebes,credit_card,2,2433,2288,403981.28,4.019317714755446,8.614467735306206
ALL,SP,relogios_presentes,ALL,2,2354,2135,479436.77999999997,4.123194562446899,5.150382327952421
2017-03,ALL,ALL,credit_card,2,2260,1973,347489.44000000006,4.073451327433628,9.226548672566372
2017-10,SP,ALL,ALL,2,2179,1765,269096.35,4.071133547498853,4.547039926571822
ALL,ALL,informatica_acessorios,boleto,2,2177,1723,303994.79000000004,3.818098300413413,8.813964170877354
2017-08,SP,ALL,ALL,2,2127,1707,241384.5,4.30371415138693,4.057357780912083
2017-04,ALL,ALL,credit_card,2,2061,1827,330797.2,4.0426977195536145,10.524502668607472
ALL,ALL,eletronicos,credit_card,2,2023,1852,161260.48,4.035590706870984,9.549184379634207
2017-07,SP,ALL,ALL,2,1995,1582,231882.62,4.171428571428572,4.543358395989975
ALL,ALL,papelaria,credit_card,2,1981,1829,228059.02,4.216052498738011,9.322564361433619
ALL,DF,ALL,credit_card,2,1934,1687,301277.73,4.023784901758014,9.255429162357808
2017-09,SP,ALL,ALL,2,1917,1615,267896.1,4.229525299947835,4.851851851851852
ALL,ALL,cama_mesa_banho,boleto,2,1903,1601,194554.89,3.955859169732002,8.996847083552286
ALL,ALL,beleza_saude,boleto,2,1878,1704,246257.43,4.123003194888179,7.949946751863685
ALL,SP,automotivo,ALL,2,1812,1615,249665.87,4.21523178807947,4.801876379690949
ALL,RJ,cama_mesa_banho,ALL,2,1797,1393,196912.74,3.740122426265999,12.683361157484697
